Date,Open,High,Low,Close,Adj Close,Volume
2023-09-01,52.650002,52.720001,51.810001,51.939999,51.716381,2937000
2023-09-05,51.799999,51.860001,50.650002,50.709999,50.491676,3210300
2023-09-06,50.860001,52.029999,50.680000,51.580002,51.357933,2494000
2023-09-07,51.509998,51.700001,51.209999,51.660000,51.437588,2109100
2023-09-08,51.660000,51.759998,51.270000,51.430000,51.208580,3023900
2023-09-11,51.689999,51.779999,51.080002,51.369999,51.148834,1660100
2023-09-12,51.240002,51.590000,51.209999,51.470001,51.248405,1527100
2023-09-13,51.470001,51.570000,50.919998,51.099998,50.879997,1981100
2023-09-14,51.090000,51.500000,50.880001,51.470001,51.470001,1830000
2023-09-15,51.470001,51.680000,50.759998,50.770000,50.770000,2698500
2023-09-18,50.660000,51.150002,50.529999,51.020000,51.020000,1493800
2023-09-19,51.000000,51.380001,50.759998,50.930000,50.930000,2446600
2023-09-20,51.139999,51.330002,50.529999,50.570000,50.570000,1623700
2023-09-21,50.330002,50.360001,48.830002,48.840000,48.840000,2294200
2023-09-22,48.880001,49.180000,48.619999,48.669998,48.669998,1644200
2023-09-25,48.480000,48.680000,48.189999,48.639999,48.639999,1662600
2023-09-26,48.160000,48.509998,47.880001,47.980000,47.980000,1882500
2023-09-27,48.230000,48.549999,47.889999,48.330002,48.330002,2015500
2023-09-28,48.389999,49.299999,48.389999,48.919998,48.919998,2035000
2023-09-29,49.250000,49.270000,48.340000,48.590000,48.590000,1708200
2023-10-02,48.529999,48.540001,48.070000,48.419998,48.419998,3121700
2023-10-03,47.919998,48.000000,46.880001,47.250000,47.250000,3525400
2023-10-04,47.380001,48.869999,47.380001,48.779999,48.779999,3324200
2023-10-05,48.779999,49.189999,48.580002,49.020000,49.020000,2085200
2023-10-06,48.900002,49.810001,48.860001,49.610001,49.610001,1960000
2023-10-09,49.410000,49.919998,49.360001,49.730000,49.730000,1577200
2023-10-10,49.849998,50.099998,49.230000,49.869999,49.869999,2302400
2023-10-11,49.869999,50.040001,49.410000,49.660000,49.660000,2146400
2023-10-12,49.720001,49.950001,49.130001,49.320000,49.320000,2161200
2023-10-13,49.529999,49.580002,49.060001,49.369999,49.369999,1542600
